temperature,humidity,oil_level,gas_value,fault_class
36.92,34.51,16.46,1523.03,4
24.34,47.65,10.87,594.91,0
27.88,46.37,3.75,552.14,3
31.22,36.99,22.51,274.63,0
25.34,40.95,7.84,6.82,0
24.03,48.62,8.85,1681.88,4
27.59,64.44,21.2,1082.0,0
32.19,68.04,3.15,1924.61,4
34.26,64.15,9.49,1060.41,0
30.17,34.31,24.73,120.76,0
23.55,35.08,16.6,1891.39,4
24.81,34.81,6.58,717.45,0
39.5,63.96,20.83,1953.31,4
26.48,35.96,15.78,562.12,0
34.61,37.93,14.31,1600.5,4
20.83,51.57,20.23,776.44,0
26.4,73.46,20.77,197.09,0
35.18,74.23,24.92,1875.39,4
39.31,40.19,21.16,1921.95,4
30.37,37.59,13.65,1763.49,4
24.12,82.18,4.62,1078.11,0
29.67,40.74,12.51,1819.46,4
32.56,65.45,21.1,1564.63,4
28.09,53.34,18.47,1267.16,0
38.37,70.74,21.98,1988.87,4
36.55,49.79,9.21,228.72,1
26.68,80.82,14.12,1647.25,4
35.91,66.23,13.68,1769.35,4
37.41,34.1,16.01,128.45,1
38.47,63.22,15.24,403.56,1
31.27,75.74,18.27,331.6,2
34.17,36.61,23.6,558.54,0
39.91,35.27,10.06,124.79,1
38.52,33.32,11.43,173.09,1
35.21,37.64,3.19,1743.35,4
23.58,35.83,11.12,288.56,0
34.22,80.73,11.96,1919.76,4
23.72,64.59,14.87,157.24,0
33.81,67.15,17.36,1561.83,4
25.93,80.43,3.56,140.05,0
27.51,72.52,13.92,256.38,0
39.73,75.11,20.76,626.88,0
32.42,46.92,11.9,1768.15,4
32.84,71.15,7.3,1896.03,4
21.81,75.43,20.16,166.16,2
39.46,56.55,15.52,982.17,1
37.84,36.75,24.2,67.29,1
24.33,61.67,20.82,555.34,0
23.9,54.45,18.52,1014.02,0
33.1,78.21,20.88,53.71,2
32.85,60.6,3.54,1615.96,4
35.43,54.12,24.57,1695.89,4
30.57,77.33,14.72,341.78,2
24.32,59.3,19.29,450.08,0
33.76,78.59,24.66,853.77,2
39.37,59.09,10.51,624.95,1
39.17,72.73,10.33,264.24,1
32.98,55.86,18.82,444.32,0
28.02,74.15,4.68,85.35,3
36.16,72.22,6.74,1627.49,4
24.13,40.16,16.43,1486.56,0
24.37,63.44,12.78,661.67,0
26.48,66.09,10.11,1130.36,0
20.51,80.1,18.69,137.89,2
29.56,79.24,23.01,152.54,2
24.14,75.4,12.83,862.97,2
24.48,55.84,18.88,1818.99,4
22.53,79.81,21.51,1332.5,0
32.59,53.18,7.98,1150.37,0
29.51,39.66,15.32,1311.75,0
25.62,34.97,22.99,1222.49,0
31.55,56.35,17.06,1548.2,4
28.35,56.94,19.97,1451.51,0
27.34,53.95,8.61,979.88,0
26.06,38.31,8.55,961.23,0
24.44,66.55,19.38,651.32,0
26.25,71.65,23.94,1241.93,0
37.42,47.2,19.34,1368.68,0
38.81,70.9,13.38,78.14,1
31.12,50.3,11.79,1787.89,4
37.27,70.07,13.18,1050.61,0
21.88,34.72,17.66,505.39,0
20.81,80.8,4.12,1461.32,0
27.76,58.79,8.42,388.45,0
26.93,77.44,20.11,1009.07,0
30.78,84.42,17.0,876.41,2
23.85,76.24,24.4,1720.7,4
28.93,80.11,13.38,184.39,2
23.66,66.08,9.92,574.05,0
21.32,59.78,24.38,1664.0,4
35.69,83.37,16.94,1081.98,0
35.94,53.37,22.32,382.25,1
23.25,80.87,18.76,1082.73,0
24.32,50.61,5.79,13.73,0
24.79,44.71,16.4,283.46,0
24.64,41.72,17.17,906.35,0
35.13,36.42,6.85,1127.7,0
21.85,60.08,14.98,1345.34,0
25.49,30.14,4.09,1046.6,0
23.18,36.14,4.85,1147.47,0
30.32,81.87,11.7,1141.91,0
29.5,61.0,3.52,790.05,3
34.98,36.38,12.52,1789.16,4
34.11,63.75,3.25,477.33,3
24.45,51.17,14.76,17.71,0
28.54,35.01,11.62,1884.43,4
21.17,39.62,24.12,721.74,0
28.74,84.0,18.95,596.36,2
28.85,76.35,15.59,1277.95,0
29.15,82.1,8.24,645.97,2
32.16,82.31,17.19,1007.14,0
34.48,30.33,6.36,1993.19,4
29.58,75.72,15.2,1175.34,0
37.21,77.77,10.28,289.27,0
26.82,51.27,21.5,497.24,0
30.02,36.94,7.26,799.71,0
32.38,48.94,20.43,1357.45,0
20.45,30.35,16.42,851.52,0
23.28,67.95,13.88,1194.46,0
34.47,35.11,16.38,1743.8,4
20.15,40.93,5.27,208.73,0
25.49,83.7,20.65,440.8,2
24.49,34.23,11.91,451.65,0
30.47,82.57,8.81,916.13,2
34.18,32.38,17.21,1913.13,4
33.37,79.0,7.49,735.49,2
23.69,41.34,9.16,298.95,0
35.23,78.88,21.37,1240.99,0
28.06,46.08,15.32,1069.5,0
33.93,70.27,12.37,1361.53,0
25.72,65.0,17.64,962.6,0
34.29,42.09,18.3,1833.67,4
27.06,39.39,17.1,1002.51,0
33.44,31.51,8.64,1331.5,0
35.75,34.28,20.81,520.3,1
38.41,84.47,12.5,1380.89,0
35.21,66.01,10.54,558.92,1
24.83,37.56,16.65,425.56,0
29.42,80.13,5.5,1021.12,0
22.26,72.82,22.83,1014.27,0
28.11,36.05,11.24,1953.21,4
25.15,31.84,24.57,548.26,0
28.28,54.02,12.99,175.84,0
22.32,42.85,20.66,1124.77,0
33.3,72.53,6.38,81.82,0
30.76,56.84,4.01,1312.69,0
27.6,47.83,23.9,1841.45,4
28.59,62.23,4.0,55.15,3
34.77,39.08,6.42,367.59,0
33.33,76.32,19.05,869.46,2
26.19,71.28,21.35,516.81,0
39.25,79.9,19.48,1753.14,4
39.12,73.3,16.06,333.99,1
35.24,83.71,5.44,1811.45,4
26.18,44.67,6.18,871.24,0
28.17,55.56,8.51,1746.5,4
27.38,77.16,21.43,1483.45,0
29.92,63.33,10.29,279.29,0
28.22,33.01,6.69,327.35,0
35.86,82.55,8.79,1179.29,0
32.0,58.3,21.12,1681.05,4
39.29,82.92,8.25,478.17,0
37.46,69.93,24.67,1902.42,4
20.72,44.49,11.49,203.53,0
29.16,47.63,15.3,545.05,0
23.48,60.59,17.4,646.43,0
23.69,82.57,15.46,71.88,2
24.52,53.2,4.38,1455.78,0
